status_id,party_key,status,status_effective_date,created_date,updated_date
2,0001ad26-2460-4f58-9eaa-5b93c53d13ac,COMPLETE,NULL,2024-05-27 06:22:22.000,2024-05-27 06:22:23.000
3,0001ad26-2460-4f58-9eaa-5b93c53d13ac,PROVISIONED,NULL,2024-05-27 06:22:22.000,2024-05-27 06:22:24.000
4,0001ad26-2460-4f58-9eaa-5b93c53d13ac,PROSPECT,NULL,2024-05-27 06:22:22.000,2024-05-27 06:22:22.000
5,000a9d91-2fa0-4a8b-9af2-76abf97fafea,COMPLETE,NULL,2024-05-31 05:35:45.000,2024-05-31 05:35:45.000
6,000a9d91-2fa0-4a8b-9af2-76abf97fafea,PROSPECT,NULL,2024-05-31 05:35:45.000,2024-05-31 05:35:45.000
7,000a9d91-2fa0-4a8b-9af2-76abf97fafea,PROVISIONED,NULL,2024-05-31 05:35:45.000,2024-05-31 05:35:48.000
8,000bba40-ac22-42d4-915b-620c22257606,IDENTIFIED,NULL,2025-02-11 07:06:22.000,2025-02-11 11:08:35.000
9,000bba40-ac22-42d4-915b-620c22257606,PROSPECT,NULL,2025-02-11 07:06:22.000,2025-02-11 11:08:34.000
10,000bba40-ac22-42d4-915b-620c22257606,PROSPECT,NULL,2025-02-11 07:06:22.000,2025-02-11 07:06:22.000
11,000bc1d8-e72c-4b89-9d1e-318f9ae4aef1,COMPLETE,NULL,2024-05-23 08:12:19.000,2024-05-23 08:12:19.000
12,000bc1d8-e72c-4b89-9d1e-318f9ae4aef1,PROSPECT,NULL,2024-05-23 08:12:19.000,2024-05-23 08:12:19.000
13,000bc1d8-e72c-4b89-9d1e-318f9ae4aef1,PROVISIONED,NULL,2024-05-23 08:12:19.000,2024-05-23 08:12:22.000
14,000caf25-8f36-4558-9916-0f3bea40fcf5,PROVISIONED,NULL,2024-03-13 05:47:10.000,2024-03-13 05:47:10.000
15,000caf25-8f36-4558-9916-0f3bea40fcf5,COMPLETE,NULL,2024-03-13 05:47:10.000,2024-03-13 05:47:10.000
16,000caf25-8f36-4558-9916-0f3bea40fcf5,PROSPECT,NULL,2024-03-13 05:47:10.000,2024-03-13 05:47:10.000
17,000ed668-67f2-4a21-add2-be2f968bfd88,PROSPECT,NULL,2024-02-22 12:44:52.000,2024-02-22 12:44:52.000
18,000ed668-67f2-4a21-add2-be2f968bfd88,PROVISIONED,NULL,2024-02-22 12:44:52.000,2024-02-22 12:44:56.000
19,000ed668-67f2-4a21-add2-be2f968bfd88,COMPLETE,NULL,2024-02-22 12:44:52.000,2024-02-22 12:44:52.000
20,001481da-49d8-4e87-88d2-062e45de1c0e,PROVISIONED,NULL,2024-05-23 13:41:11.000,2024-05-23 13:41:12.000
21,001481da-49d8-4e87-88d2-062e45de1c0e,COMPLETE,NULL,2024-05-23 13:41:11.000,2024-05-23 13:41:11.000
22,001481da-49d8-4e87-88d2-062e45de1c0e,PROSPECT,NULL,2024-05-23 13:41:11.000,2024-05-23 13:41:11.000
23,001f0080-ce79-4e00-9025-c632a7eb921d,PROVISIONED,NULL,2024-05-23 08:36:51.000,2024-05-23 08:36:53.000
24,001f0080-ce79-4e00-9025-c632a7eb921d,PROSPECT,NULL,2024-05-23 08:36:51.000,2024-05-23 08:36:51.000
25,001f0080-ce79-4e00-9025-c632a7eb921d,COMPLETE,NULL,2024-05-23 08:36:51.000,2024-05-23 08:36:51.000
26,00254c5c-3e68-4a61-9896-b9bf698a7a44,COMPLETE,NULL,2023-10-02 09:35:45.000,2023-10-02 09:35:58.000
27,00254c5c-3e68-4a61-9896-b9bf698a7a44,PROSPECT,NULL,2023-10-02 09:35:45.000,2023-10-02 09:35:45.000
28,00254c5c-3e68-4a61-9896-b9bf698a7a44,PROVISIONED,NULL,2023-10-02 09:35:45.000,2023-10-02 09:36:03.000
29,002fad35-bb49-4fdb-953e-62628015ca6b,COMPLETE,NULL,2024-05-23 13:45:42.000,2024-05-23 13:45:42.000
30,002fad35-bb49-4fdb-953e-62628015ca6b,PROSPECT,NULL,2024-05-23 13:45:42.000,2024-05-23 13:45:42.000
31,002fad35-bb49-4fdb-953e-62628015ca6b,PROVISIONED,NULL,2024-05-23 13:45:42.000,2024-05-23 13:45:43.000
32,0033f212-10a3-4d4f-8bb0-bf87ec8815c5,IDENTIFIED,NULL,2024-05-13 19:36:17.000,2024-05-13 19:41:07.000
