metadata_created_date,metadata_updated_date,subscription_key,party_key,parent_subscription_key,subscription_status
2024-03-13 05:47:15.316,2024-03-13 05:47:15.316,51299389-ca82-4b93-ade5-35c304e27586,000caf25-8f36-4558-9916-0f3bea40fcf5,,ACTIVE
2024-03-13 05:47:15.316,2024-04-02 15:00:17.328,51299389-ca82-4b93-ade5-35c304e27586,000caf25-8f36-4558-9916-0f3bea40fcf5,,ACTIVE
2024-02-22 12:45:06.767,2024-02-22 12:45:06.767,ccede0e5-3774-487a-ac08-83f0016b23a8,000ed668-67f2-4a21-add2-be2f968bfd88,,ACTIVE
2024-02-22 12:45:06.767,2024-07-22 10:10:54.151,ccede0e5-3774-487a-ac08-83f0016b23a8,000ed668-67f2-4a21-add2-be2f968bfd88,,ACTIVE
2024-05-23 13:41:15.493,2024-08-15 15:03:22.010,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-10-30 05:23:18.989,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-08-28 09:43:06.476,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-10-15 12:03:51.570,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-07-22 10:20:41.875,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-11-21 06:53:04.900,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-05-23 13:41:15.493,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-11-04 08:54:53.380,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-10-23 14:18:03.664,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.493,2024-08-27 10:02:49.377,baf09f35-b196-4b1c-815b-8cf600c2f538,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 13:41:15.391,2024-05-23 13:41:15.391,c8e85bd9-1fa4-4ff0-a61e-a56c75a2a574,001481da-49d8-4e87-88d2-062e45de1c0e,,ACTIVE
2024-05-23 08:36:59.450,2024-08-27 10:03:15.106,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-10-23 14:17:28.192,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-05-23 08:36:59.450,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.117,2024-05-23 08:36:59.117,b4f587d3-b42f-4eb6-b2fd-6c0f3466f2b1,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-10-15 12:02:24.555,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-10-30 05:23:32.600,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-08-28 09:40:40.473,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-11-04 08:58:05.625,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-08-15 15:02:40.604,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
2024-05-23 08:36:59.450,2024-07-22 10:10:05.836,88a1f307-7684-4071-a85b-ff51f4943b36,001f0080-ce79-4e00-9025-c632a7eb921d,,ACTIVE
