created_date,party_key,is_onboarded,updated_date
2025-02-11 07:06:24.000,000bba40-ac22-42d4-915b-620c22257606,false,2025-02-11 07:06:24.000
2024-05-13 19:36:20.000,0033f212-10a3-4d4f-8bb0-bf87ec8815c5,false,2024-05-13 19:36:20.000
2025-02-04 21:10:56.000,005b9dde-f538-483e-9b10-caca80d1b36d,false,2025-02-04 21:10:56.000
2025-02-04 21:10:56.000,005b9dde-f538-483e-9b10-caca80d1b36d,true,2025-02-04 21:16:25.000
2024-10-30 07:25:56.000,0072fbbf-b460-4657-ad2f-b8797e5a3f54,false,2024-10-30 07:25:56.000
2024-07-18 16:07:06.000,008ded36-6d74-428e-9a88-ebbd27dc20ce,false,2024-07-18 16:07:06.000
2024-10-25 07:20:23.000,00c0ba5e-0138-4797-89d1-ac9c21d5cbd8,false,2024-10-25 07:20:23.000
2024-12-11 04:26:37.000,00f1609b-bfc1-4e04-a2ca-f595d5ba77ef,true,2024-12-11 04:32:08.000
2024-12-11 04:26:37.000,00f1609b-bfc1-4e04-a2ca-f595d5ba77ef,false,2024-12-11 04:26:37.000
2024-10-22 07:29:16.000,0102dee6-510f-4911-9433-0170ef9eb72d,true,2024-10-22 07:32:44.000
2024-10-22 07:29:16.000,0102dee6-510f-4911-9433-0170ef9eb72d,false,2024-10-22 07:29:16.000
2024-12-08 06:29:23.000,0111c977-bf73-48df-93dd-be9ca552edbc,false,2024-12-08 06:29:23.000
2024-12-08 06:29:23.000,0111c977-bf73-48df-93dd-be9ca552edbc,true,2024-12-08 06:33:25.000
2024-10-04 06:02:57.000,0120dd8d-968b-46b2-a35b-2365a0287209,false,2024-10-04 06:02:57.000
2025-01-07 11:14:40.000,0167deb8-613c-46d3-a5ef-53b021dd4e29,false,2025-01-07 11:14:40.000
2025-01-08 13:48:19.000,018f2759-9017-4494-b51c-40cac70876ad,false,2025-01-08 13:48:19.000
2024-07-23 10:07:58.000,01953b87-058a-4b54-8ab3-d3612f553aae,false,2024-07-23 10:07:58.000
2024-10-22 05:34:39.000,019edf17-c063-462f-9807-58dac16e9704,false,2024-10-22 05:34:39.000
2024-10-22 05:34:39.000,019edf17-c063-462f-9807-58dac16e9704,true,2024-10-22 05:37:21.000
2024-05-21 12:15:25.000,01a221b4-184a-4513-b4d6-ccee9124a4da,true,2024-05-21 12:18:24.000
2024-05-21 12:15:25.000,01a221b4-184a-4513-b4d6-ccee9124a4da,false,2024-05-21 12:15:25.000
2024-10-09 14:13:55.000,01b3165d-441f-483e-822b-9b7a0f04103f,false,2024-10-09 14:13:55.000
2024-10-25 07:13:37.000,01b33e91-4bd3-41be-bb9e-a91c0b90826d,false,2024-10-25 07:13:37.000
2024-10-25 07:13:37.000,01b33e91-4bd3-41be-bb9e-a91c0b90826d,true,2024-10-25 07:16:41.000
2024-11-04 10:17:58.000,01b4e01a-73de-4cd1-95bf-883717691e25,true,2024-11-04 10:21:44.000
2024-11-04 10:17:58.000,01b4e01a-73de-4cd1-95bf-883717691e25,false,2024-11-04 10:17:58.000
2024-10-15 10:49:00.000,01bcc5f7-85cd-47e4-bfc8-72ede5b593a3,false,2024-10-15 10:49:00.000
2024-07-01 09:37:57.000,01cd1381-9013-48f9-ad1c-deef60239493,false,2024-07-01 09:37:57.000
2024-08-08 08:09:26.000,01f0b208-0e35-4cfb-9c1b-8f5281800238,false,2024-08-08 08:09:26.000
2024-06-18 11:53:09.000,02226bf5-980d-484e-bc34-6bc7615bf6ff,false,2024-06-18 11:53:09.000
2024-09-19 05:10:08.000,02535da0-b8f1-4e8a-a794-94f62bdf6b27,false,2024-09-19 05:10:08.000
2024-08-12 06:56:46.000,026260d2-4c4d-4e7f-b548-5955b508cae6,false,2024-08-12 06:56:46.000
2024-10-03 11:14:41.000,026a307f-554a-4f60-925a-aaf0d45a4c0d,false,2024-10-03 11:14:41.000
2024-06-19 11:31:55.000,026a98c7-ee71-4793-96c0-35c1b49f738e,false,2024-06-19 11:31:55.000
2024-06-19 11:31:55.000,026a98c7-ee71-4793-96c0-35c1b49f738e,true,2024-06-19 11:37:10.000
2024-08-08 10:56:01.000,02ab4eab-ca8f-418c-afa0-19b3818a13a8,false,2024-08-08 10:56:01.000
