metadata_event_type,metadata_event_type_key_name,metadata_event_metadata_version,id,status,type,expires_at,activated_at,ordered_at,effective_from,canceled_at,cancelation_reason,created_at,updated_at,replacement_reason,replacement_for,replacement_by,subscription_key,party_key,card_product_id
UPDATE,cardId,1.0.0,ea41256d-3a50-4cde-8d28-52155abb0943,ACTIVE,VIRTUAL,2029-05-31,2024-05-31 05:23:33.241,2024-05-31 05:23:33.241,2024-05-31,,,2024-05-31 05:23:16.483,2024-05-31 05:23:33.255,,,,59b2c849-0a6d-4ea7-a1dc-84b61b85e1c0,003b2979-f497-4684-8c8b-764a7fd663c6,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,190f23d6-b1d5-4ee3-a679-c6413327544a,ACTIVE,VIRTUAL,2029-05-31,2024-05-27 05:17:12.932,2024-05-27 05:17:12.932,2024-05-27,,,2024-05-27 05:16:11.022,2024-05-27 05:17:12.945,,,,425393c0-cdf5-4697-a635-b1720d042b17,0040f40b-3fba-4856-8dcc-b3561e2bf906,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,190f23d6-b1d5-4ee3-a679-c6413327544a,NEW,VIRTUAL,,,,2024-05-27,,,2024-05-27 05:16:11.022,2024-05-27 05:16:11.022,,,,425393c0-cdf5-4697-a635-b1720d042b17,0040f40b-3fba-4856-8dcc-b3561e2bf906,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,3e1e54c4-e311-4e46-a153-e7965791ce46,ACTIVE,VIRTUAL,2029-02-28,2024-02-13 13:34:23.202,2024-02-13 13:34:23.202,2024-02-13,,,2024-02-13 13:34:16.798,2024-02-13 13:34:23.230,,,,cbcec3c4-7a99-4dd7-95be-51e21ae3c3e3,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
INSERT,cardId,1.0.0,15eb78d6-1853-4cde-a429-7da122194734,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:21:34.223,2023-12-13 18:21:34.223,,,,f2d1b4a6-b841-457b-b78b-79cc17678240,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,fe588d35-a1ef-4c0f-a458-c09b74de26e8,NEW,VIRTUAL,,,,2024-02-13,,,2024-02-13 13:29:35.282,2024-02-13 13:29:35.282,,,,0b7358df-cdeb-454d-ab69-f22a44f030da,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
UPDATE,cardId,1.0.0,72d85f32-023e-4f5b-a8ea-2dd83f2c49a8,ACTIVE,VIRTUAL,2028-12-31,2023-12-13 19:43:13.366,2023-12-13 19:43:13.366,2023-12-13,,,2023-12-13 19:43:11.601,2023-12-13 19:43:13.498,,,,3420727a-1aaa-445a-901c-d233b3299e97,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,895a5a66-6713-41b0-a61f-c6459aaf55a8,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:23:04.416,2023-12-13 18:23:04.416,,,,e518c49f-b268-4dd2-b049-6478992dface,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
UPDATE,cardId,1.0.0,279bec45-95ed-4730-a321-14304c5bb9c1,ACTIVE,VIRTUAL,2028-09-30,2023-09-07 06:14:40.264,2023-09-07 06:14:40.264,2023-09-07,,,2023-09-07 06:14:38.152,2023-09-07 06:14:40.298,,,,2bde6953-21b2-420e-a4dd-309abcb7db89,0042a796-5342-4e10-8c26-f3cd5cd01995,9b19c035-031f-47a9-8568-b5fa8212d0c9
INSERT,cardId,1.0.0,80f2ebd6-31cb-46a2-b4c0-ecbbbc2914af,NEW,VIRTUAL,,,,2023-12-13,,,2023-12-13 18:43:37.465,2023-12-13 18:43:37.465,,,,490f787c-36bd-440e-ba14-80f4b57dd172,0042a796-5342-4e10-8c26-f3cd5cd01995,f091df82-bb31-43ae-9c44-09a36cc284ec
INSERT,cardId,1.0.0,3e1e54c4-e311-4e46-a153-e7965791ce46,NEW,VIRTUAL,,,,2024-02-13,,,2024-02-13 13:34:16.798,2024-02-13 13:34:16.798,,,,cbcec3c4-7a99-4dd7-95be-51e21ae3c3e3,0042a796-5342-4e10-8c26-f3cd5cd01995,e14371c2-0463-4dc4-b9e0-ea805015d31c
